"GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
4.2,4.38,4.18,4.34,1410800,4.34
4.35,4.55,4.26,4.26,4216200,4.26
4.22,4.31,4.07,4.08,2261600,4.08
4.13,4.29,4.13,4.19,1474100,4.19
4.19,4.2,4.09,4.17,1330100,4.17
4.16,4.23,3.94,3.96,3065900,3.96
3.95,4.06,3.77,3.85,3401100,3.85
3.9,4.09,3.88,4.01,3341000,4.01
4.02,4.12,3.92,4.11,2523500,4.11
4.09,4.31,4.06,4.11,3237200,4.11
4.06,4.23,4.01,4.03,2215900,4.03
4.02,4.12,3.95,4.01,2472700,4.01
3.96,4.05,3.92,3.94,4555400,3.94
3.94,4.18,3.92,4.06,2879600,4.06
4,4.23,3.97,4.1,2398500,4.1
4.06,4.16,3.99,4.01,1879400,4.01
4.03,4.25,4,4.15,2517600,4.15
4.13,4.74,4.13,4.43,10361400,4.43
4.5,4.76,4.25,4.63,4925700,4.63
4.6,4.66,4.38,4.43,1901200,4.43
4.39,4.4,4.06,4.16,3341100,4.16
4.2,4.57,4.18,4.33,4561800,4.33
4.43,4.57,4.34,4.35,3138800,4.35
4.4,4.63,4.36,4.52,3057600,4.52
4.52,4.71,4.5,4.64,2128300,4.64
4.6,4.83,4.55,4.75,3474400,4.75
4.78,4.78,4.56,4.63,2371000,4.63
4.61,4.87,4.43,4.81,3834400,4.81
4.8,4.84,4.64,4.72,2612600,4.72
4.62,4.68,4.51,4.61,2441200,4.61
4.6,5.6,4.6,5.03,10642600,5.03
5.1,5.13,4.56,4.87,4585400,4.87
4.88,5.25,4.88,4.98,2998700,4.98
4.97,5.22,4.92,5.11,2779700,5.11
5.11,5.38,5.02,5.25,3384400,5.25
5.3,5.57,5.22,5.39,4236900,5.39
5.77,7.15,5.69,6.68,37976000,6.68
7.3,7.82,6.77,7.65,23211000,7.65
7.8,8.05,7.11,7.71,13011100,7.71
7.88,8.45,7.24,7.82,14344500,7.82
7.78,7.92,7.17,7.65,7662000,7.65
7.55,8.28,7.48,7.7,9816600,7.7
7.96,7.99,7.31,7.35,9068100,7.35
6.65,6.95,6.19,6.23,15558300,6.23
6.26,6.33,5.87,6.09,6061200,6.09
6.8,7,6.43,6.91,10119000,6.91
6.86,7.26,6.69,7.09,5743500,7.09
7.03,9.04,7.03,8.68,19256300,8.68
8.57,9.77,8.41,9.2,17026700,9.2
9.2,9.77,8.91,9.47,17407500,9.47
9.35,9.6,8.38,8.75,7639800,8.75
10.45,11.17,9.9,10.56,34752500,10.56
10.6,10.86,9.92,10.04,10651200,10.04
9.71,9.81,9.01,9.14,7938800,9.14
9.19,10.18,9.1,10.02,7515200,10.02
10.16,10.26,9.55,10.09,6764300,10.09
10,10.65,9.93,10.35,5237600,10.35
10.25,10.76,10.06,10.2,6079000,10.2
10.09,10.25,9.69,9.77,4554100,9.77
9.38,9.78,9.3,9.39,4340500,9.39
9.44,9.59,9.25,9.46,2805000,9.46
9.56,9.84,9.1,9.13,4535400,9.13
9.23,9.56,9.17,9.36,3308600,9.36
9.54,13.64,9.19,13.49,76453600,13.49
12.83,14.8,11.9,12.02,77152800,12.02
11.66,12.77,11.4,11.8,23655700,11.8
11.73,12.42,11.65,11.88,10179700,11.88
12.67,12.68,12.05,12.25,10776800,12.25
11.99,15.1,11.99,13.83,39894800,13.83
13.77,13.9,13.08,13.31,11651600,13.31
13.44,14.5,13.38,13.91,13169100,13.91
14.03,14.14,13.67,13.86,6604000,13.86
13.9,14.42,13.8,14.1,5361900,14.1
14.2,15.87,14.19,14.91,16212200,14.91
15.05,15.38,14.55,15,6507300,15
14.93,15.45,13.26,13.45,13376300,13.45
13.71,13.71,12.36,12.69,7231000,12.69
12.27,13.05,11.78,11.82,6388600,11.82
11.88,12.25,11.68,11.73,4165800,11.73
11.64,11.64,10.36,10.47,11546900,10.47
10.82,11.09,10.5,10.75,5227000,10.75
10.75,11.86,10.63,11.57,7454500,11.57
11.76,11.77,10.61,10.91,5807900,10.91
11.27,11.84,11.06,11.45,4705200,11.45
11.52,12.17,11.32,11.86,5518200,11.86
12.76,12.93,11.25,11.49,6244900,11.49
11.5,11.66,10.83,11.1,3826000,11.1
11.5,11.95,11.21,11.75,4882600,11.75
11.74,11.87,10.97,11.13,4353300,11.13
